中國大陸,GPE
770,CARDINAL
12/21,CARDINAL
200多萬,CARDINAL
蔡,PERSON
2300萬,CARDINAL
明年11月,DATE
兩岸,GPE
第15,ORDINAL
日本,GPE
行政院長,ORG
高雄市,GPE
三天,DATE
亞太,LOC
高雄,GPE
臺灣,GPE
四,CARDINAL
萬年,DATE
500億美元,MONEY
六,CARDINAL
今天,DATE
藍綠,ORG
奧運,EVENT
23,CARDINAL
宋楚瑜,PERSON
12/21,DATE
中華民國憲法,LAW
孫運璿,PERSON
李登輝,PERSON
美國,GPE
這四年,DATE
四年,DATE
總統府,ORG
中華民國,GPE
一,CARDINAL
蔣經國,PERSON
國民黨,ORG
習近平將,PERSON
第四,CARDINAL
12月31日,DATE
安全局,ORG
台灣,GPE
韓,GPE
台灣,NORP
第三,ORDINAL
明年三月份,DATE
兩岸,LOC
44年,DATE
台商,NORP
日,GPE
美軍,ORG
韓,PERSON
民進黨,ORG
明年,DATE
明年八月份,DATE
川普,PERSON
高雄,NORP
100,CARDINAL
大陸,GPE
中央,ORG
雲林,GPE
五,CARDINAL
台灣人,NORP
習近平,PERSON
2000,CARDINAL
立法院,ORG
第二,ORDINAL
第五,ORDINAL
兩,CARDINAL
廣東,GPE
九二,EVENT
國會,ORG
第四,ORDINAL
中國,GPE
兩岸關係條例,LAW
