20%,PERCENT
蔡,PERSON
史瓦帝尼,GPE
第九,ORDINAL
余湘,PERSON
40年,DATE
兩年,DATE
12個月,DATE
今天,DATE
2025,CARDINAL
清德,PERSON
當年,DATE
這三年,DATE
兩千五百,CARDINAL
六海,LOC
蔣經國,PERSON
台,GPE
台灣,GPE
美,GPE
15,CARDINAL
去年12月,DATE
2025年,DATE
11,CARDINAL
日,GPE
民進黨,ORG
一兆兩千億,CARDINAL
三年前,DATE
2.7,CARDINAL
韓國,GPE
今年11月,DATE
零,CARDINAL
前年,DATE
第四,ORDINAL
PM2.5,CARDINAL
中國大陸,GPE
三年多,DATE
19,CARDINAL
一千億,CARDINAL
台獨,GPE
蔡英文,PERSON
今年,DATE
0206地震,EVENT
楊蕙如,PERSON
4%,PERCENT
半年,DATE
高雄,GPE
Uber,ORG
韓國瑜,PERSON
一萬兩千,CARDINAL
六成,CARDINAL
11月初,DATE
2028年,DATE
四年,DATE
中華民國,GPE
新加坡,GPE
國民黨,ORG
十年之後,DATE
65歲,DATE
亞洲,LOC
第三,ORDINAL
台灣,NORP
2.0,CARDINAL
12月初一,DATE
金管會,ORG
7千億元,MONEY
二十年,DATE
賴清德,PERSON
紐西蘭,GPE
30世代,DATE
立法院,ORG
Google,ORG
第五,ORDINAL
亞太,LOC
台南,GPE
8%,PERCENT
余,PERSON
5,CARDINAL
去年,DATE
兩岸,GPE
第一,ORDINAL
第八,ORDINAL
AIT,ORG
四,CARDINAL
十多年,DATE
12月13號,DATE
柏瑞光,PERSON
觀光局,ORG
瑜,PERSON
張善政,PERSON
1兆,CARDINAL
兩岸,LOC
兩千萬,CARDINAL
明年,DATE
3~4,CARDINAL
幾個月前,DATE
16萬,CARDINAL
前兩年,DATE
民主時代,DATE
兩,CARDINAL
晚上,TIME
40,CARDINAL
2.5,CARDINAL
歐,LOC
將來四年,DATE
北韓,GPE
行政院,ORG
蔡真,PERSON
三年,DATE
賴,PERSON
過去三年,DATE
最近幾年,DATE
勞動部,ORG
第六,ORDINAL
2016年,DATE
第七,ORDINAL
5歲,DATE
兩成,PERCENT
一,CARDINAL
半天,DATE
零到六歲,DATE
10,CARDINAL
三,CARDINAL
七成,CARDINAL
交通部,ORG
21萬,CARDINAL
2.6,CARDINAL
台灣STO,ORG
666,CARDINAL
第二,ORDINAL
