2030年,DATE
蔡,PERSON
40年,DATE
義大利,GPE
英國,GPE
英德配,PERSON
四點零,CARDINAL
今天,DATE
未來四年,DATE
這三年,DATE
美國,GPE
今日,DATE
張,PERSON
台灣,GPE
台,GPE
台商,NORP
美麗島事件,EVENT
國安,ORG
主進步黨,ORG
德國,GPE
民進黨,ORG
五點,TIME
韓,PERSON
六年,DATE
三十多年來,DATE
聯合國,ORG
一整年,DATE
1/11,CARDINAL
習近平,PERSON
韓國,GPE
九二,EVENT
國會,ORG
中國大陸,GPE
香港,GPE
蔡英文,PERSON
今年,DATE
日本,GPE
香港,NORP
馬英九,PERSON
高雄,GPE
30年,DATE
臺灣,GPE
1996年,DATE
韓國瑜,PERSON
世界盃,EVENT
中華民國,GPE
瑞士,GPE
國民黨,ORG
今年元月二號,DATE
江宜樺,PERSON
台灣,NORP
第三,ORDINAL
亞洲,LOC
巴拉馬,GPE
台灣大學,ORG
2.0,CARDINAL
5000元,MONEY
14號,DATE
國大,ORG
印太,LOC
今年10月份,DATE
中華人民共和國,GPE
納坦雅胡,PERSON
一百多萬,CARDINAL
立法院,ORG
中華人民,NORP
台南市,GPE
亞太,LOC
40周年,DATE
中國,NORP
余,PERSON
去年,DATE
兩岸,GPE
第一,ORDINAL
蘇貞昌,PERSON
蔡同榮,PERSON
11日,DATE
四,CARDINAL
六,CARDINAL
奧運,EVENT
0到6歲,DATE
百萬,CARDINAL
第二,CARDINAL
瑜,PERSON
數十多年,DATE
數百萬之多,CARDINAL
一日比一日,DATE
東海南海,LOC
兩岸,LOC
65歲以上,DATE
憲法,LAW
聯合國永續發展委員會,ORG
明年,DATE
英文,LANGUAGE
3號,DATE
台灣人,NORP
Ted Yoho,PERSON
兩,CARDINAL
中國,GPE
前三季,DATE
以色列,GPE
民主進步黨,ORG
行政院,ORG
140,CARDINAL
過去三年,DATE
一,CARDINAL
西藏,GPE
零到六歲,DATE
三,CARDINAL
彭斯,PERSON
14%,PERCENT
法國,GPE
第12,ORDINAL
第二,ORDINAL
2500元,MONEY
英德,GPE
