晚上,TIME
5,CARDINAL
蔡,PERSON
第九,ORDINAL
台獨,GPE
余湘,PERSON
去年,DATE
蔡英文,PERSON
歐,LOC
第一,ORDINAL
0206地震,EVENT
兩岸,GPE
第八,ORDINAL
半年,DATE
行政院,ORG
AIT,ORG
兩年,DATE
賴,PERSON
今天,DATE
Uber,ORG
勞動部,ORG
韓國瑜,PERSON
第六,ORDINAL
清德,PERSON
當年,DATE
2016年,DATE
第四,ORDINAL
第七,ORDINAL
12月13號,DATE
柏瑞光,PERSON
中華民國,GPE
瑜,PERSON
一,CARDINAL
蔣經國,PERSON
張善政,PERSON
國民黨,ORG
台,GPE
台灣,GPE
美,GPE
10,CARDINAL
第三,ORDINAL
兩岸,LOC
日,GPE
12月初一,DATE
民進黨,ORG
金管會,ORG
三,CARDINAL
交通部,ORG
賴清德,PERSON
台灣STO,ORG
韓國,GPE
第五,ORDINAL
台南,GPE
兩,CARDINAL
余,PERSON
