2030年,DATE
蔡,PERSON
香港,GPE
前三季,DATE
兩岸,GPE
蔡英文,PERSON
40年,DATE
第一,ORDINAL
今年,DATE
以色列,GPE
民主進步黨,ORG
香港,NORP
亞太,LOC
11日,DATE
四,CARDINAL
今天,DATE
未來四年,DATE
百萬,CARDINAL
這三年,DATE
中國,NORP
美國,GPE
中華民國,GPE
一,CARDINAL
今日,DATE
國民黨,ORG
西藏,GPE
張,PERSON
今年元月二號,DATE
台灣,GPE
數十多年,DATE
台灣,NORP
第三,ORDINAL
東海南海,LOC
兩岸,LOC
美麗島事件,EVENT
亞洲,LOC
聯合國永續發展委員會,ORG
主進步黨,ORG
民進黨,ORG
五點,TIME
明年,DATE
六年,DATE
三十多年來,DATE
彭斯,PERSON
聯合國,ORG
印太,LOC
今年10月份,DATE
英文,LANGUAGE
中華人民共和國,GPE
Ted Yoho,PERSON
納坦雅胡,PERSON
一整年,DATE
一百多萬,CARDINAL
3號,DATE
台灣人,NORP
習近平,PERSON
第二,ORDINAL
40周年,DATE
兩,CARDINAL
九二,EVENT
國會,ORG
余,PERSON
英德,GPE
中國,GPE
