PM2.5,CARDINAL
中國大陸,GPE
三年多,DATE
19,CARDINAL
蔡,PERSON
史瓦帝尼,GPE
一千億,CARDINAL
40,CARDINAL
2.5,CARDINAL
兩岸,GPE
蔡英文,PERSON
第一,ORDINAL
將來四年,DATE
40年,DATE
北韓,GPE
4%,PERCENT
高雄,GPE
過去三年,DATE
12個月,DATE
最近幾年,DATE
賴,PERSON
今天,DATE
韓國瑜,PERSON
2025,CARDINAL
8%,PERCENT
一萬兩千,CARDINAL
六成,CARDINAL
這三年,DATE
11月初,DATE
2028年,DATE
兩千五百,CARDINAL
四年,DATE
觀光局,ORG
兩成,PERCENT
半天,DATE
新加坡,GPE
一,CARDINAL
國民黨,ORG
1兆,CARDINAL
六海,LOC
台灣,GPE
台,GPE
15,CARDINAL
亞洲,LOC
去年12月,DATE
11,CARDINAL
兩千萬,CARDINAL
民進黨,ORG
7千億元,MONEY
明年,DATE
一兆兩千億,CARDINAL
二十年,DATE
七成,CARDINAL
交通部,ORG
賴清德,PERSON
幾個月前,DATE
三年前,DATE
前兩年,DATE
2.6,CARDINAL
2.7,CARDINAL
紐西蘭,GPE
立法院,ORG
韓國,GPE
今年11月,DATE
第二,ORDINAL
亞太,LOC
兩,CARDINAL
Google,ORG
第五,ORDINAL
