十六世紀,1
末,1
葡萄牙人,1
驚嘆,1
formosa,1
台灣,2
美麗島,1
稱號,1
想想,1
多,5
長,2
時間,2
這樣,4
稱呼,1
國家,2
美麗,1
寶島,1
事,1
在,9
腦海,1
中,5
出現,2
離開,1
政黨,18
政治,6
發生,1
民主,5
過程,1
傑出,1
問題,1
原因,1
讓,2
選舉,5
走出,1
死胡同,1
意識,4
形態,2
撕裂,1
情感,1
政黨司,1
欲,1
扭曲,2
價值,2
溫良,1
恭儉,1
普世,1
被,3
摧殘,1
如此,1
不堪,1
只,5
受困,1
於,1
統,1
獨,1
同時,1
大,8
心,2
剩下,1
對,1
而言,1
活動,2
產業,2
充滿,1
負面,1
能量,1
組織,1
轉型,2
變成,4
選戰,1
帝國,1
想,2
衝高,1
民調,1
享受,1
滋味,2
贏得,1
政權,1
促進,1
正義,2
委員會,2
不當,1
黨產,1
處理,1
反,1
滲透法,1
周全,1
成熟,1
遵守,1
司法,1
很,2
拗口,1
法案,2
名稱,1
執政,1
負責,1
冒出來,1
期待,2
對立,2
遮蔽,1
敢,1
正視,1
眼睛,1
讀,1
到,1
聲音,1
品嘗,1
權力,1
在乎,1
掌控,1
全力,1
提出,1
政策,4
初心,1
良善,1
統獨,2
好,2
偏激,2
呼喚,1
另,2
藍,2
綠,2
極端,1
力量,1
對話,1
理解,1
不同,4
觀點,1
進步,2
智慧,1
話,1
聽,1
運動選手,1
場,1
上,2
尊重,1
保護,1
對手,2
羞辱,1
覺得,1
同,1
競技場,1
競賽,1
競爭,1
殘暴,1
戰爭,2
現象,1
接受,2
執政黨,2
談,1
空污,1
埋藏,1
久,1
土質,1
污染,1
河川,1
整治,1
能源,1
教育,1
有關,1
福祉,1
型態,2
下,2
祭品,1
更,2
不可思議,1
自由,1
內政部長,1
內政部,1
政務,1
次長,1
說出,1
投給,1
小,2
黨,8
浪費,1
操弄,2
新,1
住民,1
製造,1
廢票,1
無心,1
過,1
精心,1
設計,1
混淆,1
視聽,1
話語,1
縱容,1
政務官,1
給,1
學習,1
成為,2
良好,1
交出,1
怎樣,1
成績單,1
對於,1
忘為,1
值得,1
包容,2
還要,1
繼續,1
？



,1
當,1
Google,1
 Facebook,1
 LINE,1
打造,1
改變,2
生活,1
網路,4
工具,2
服務,2
膚色,1
宗教,1
拉近人,1
人,2
關係,1
利用,1
網軍,1
武器,1
把,1
科技,1
培養成,1
戰鬥,1
軍團,1
準確,1
無誤,1
摧毀,1
敵人,1
內,1
同志,1
進行,2
風向,1
追殺,1
好奇,2
原創,1
者,1
看待,1
為,2
父母,1
驀然無語,1
沒有,2
憤怒,1
指責,1
不以為意,1
教導,1
善良,1
公益,1
人民,1
品德,1
這些,1
教誨,1
言,1
在耳,1
營造,1
社會,2
分為,1
散佈,1
恐懼,1
選擇,1
緊箍咒,1
限制,1
國際,1
德國,2
處於,1
辦,1
組成,1
聯合,1
政府,1
考量,1
間,1
團結,1
共同,2
阻隔,1
才能,1
梅克爾,1
總理,1
帶領,1
前進,1
開始,2
做,1
事情,1
痛恨,1
亂象,1
終結,1
藍綠,1
餓鬥,1
打破,1
ˋ,1
五彩繽紛,1
展現,1
才,1
從,3
解放出來,1
2016年,1
例,1
降為,1
3%,3
黨團,1
推動,2
補助款,3
降到,1
1.5%,2
多出,1
受惠,1
著款,1
卡神,1
得到,1
標案,1
足以,1
賣相,1
得多,1
親民黨,1
門檻,1
2020年,1
中華民國,1
元年,1
謝謝,1
