20年,DATE
前年,DATE
親民黨,ORG
八成,CARDINAL
去年,DATE
中,GPE
第一,ORDINAL
歐盟,ORG
日本,GPE
8年期間,DATE
633團隊,ORG
北韓,GPE
8年,DATE
第18,ORDINAL
四,CARDINAL
1.4兆元,MONEY
今年前三季,DATE
12個月,DATE
11月,DATE
六,CARDINAL
20年前,DATE
14,CARDINAL
六成,CARDINAL
2016年,DATE
3,CARDINAL
6,CARDINAL
六億元,MONEY
美國眾議院,ORG
第21,ORDINAL
美國,GPE
越南,GPE
5G,PRODUCT
161,CARDINAL
一,CARDINAL
新加坡,GPE
國民黨,ORG
4,CARDINAL
台灣,GPE
宋,PERSON
美,GPE
第三,ORDINAL
台商,NORP
台灣,NORP
台,GPE
亞洲,LOC
2.0,CARDINAL
韓,PERSON
明年,DATE
全年,DATE
三,CARDINAL
3.3%,PERCENT
七成,CARDINAL
印度,GPE
英德,PERSON
今年的前三季,DATE
1/11,CARDINAL
1,CARDINAL
30歲以下,DATE
2.99%,PERCENT
韓國,GPE
今年10月,DATE
第二,ORDINAL
第五,ORDINAL
兩,CARDINAL
這幾年,DATE
九二,EVENT
第四,ORDINAL
中國,GPE
