中國大陸,GPE
台澎金馬,LOC
蔡,PERSON
蔡英文,PERSON
第一,ORDINAL
一百年,DATE
汕頭,GPE
閩南語,LANGUAGE
兩千三百萬,CARDINAL
廣東人,NORP
四百億,MONEY
一百萬台幣,MONEY
馬英九,PERSON
海南話,LANGUAGE
高雄,GPE
千分之三,PERCENT
千歲,DATE
六歲,DATE
中英文,LANGUAGE
十,CARDINAL
廣東話,LANGUAGE
閩南話,LANGUAGE
今天,DATE
韓國瑜,PERSON
客家話,LANGUAGE
40多年前,DATE
潮州,GPE
潮汕話,LANGUAGE
147,CARDINAL
10年左右,DATE
第五,CARDINAL
一,CARDINAL
新加坡,GPE
蔣經國,PERSON
國民黨,ORG
海南島,LOC
台灣,GPE
宋,PERSON
台灣,NORP
第三,ORDINAL
閩南人,NORP
萬分之三,PERCENT
30,CARDINAL
1%,PERCENT
韓,PERSON
民進黨,ORG
早上,TIME
五千,CARDINAL
明年,DATE
李光耀,PERSON
二十年,DATE
高雄人,NORP
一年,DATE
100,CARDINAL
英文,LANGUAGE
85,CARDINAL
四百億,CARDINAL
立法委員部長,ORG
3500,CARDINAL
兩百多公尺,QUANTITY
百分之三,PERCENT
58,CARDINAL
2%,PERCENT
第二,ORDINAL
兩,CARDINAL
一天,DATE
45歲以下,DATE
越南話,LANGUAGE
第四,ORDINAL
新加坡,NORP
