18萬,CARDINAL
蔡,PERSON
馬來西亞人,NORP
歐盟,ORG
三歲,DATE
千年,DATE
特偵組,ORG
黃信介,PERSON
14000,CARDINAL
今天,DATE
五塊八,MONEY
未來四年,DATE
白天,TIME
五十多年前,DATE
許銘春,PERSON
陳定南,PERSON
140萬,CARDINAL
美國,GPE
中部人,NORP
韓,GPE
70%,PERCENT
台灣,GPE
康熙,PERSON
台商,NORP
三十年前,DATE
30%,PERCENT
韓,PERSON
民進黨,ORG
70歲,DATE
德國,GPE
2020,DATE
越南人,NORP
19歲,DATE
雲林,GPE
國瑜,PERSON
127,CARDINAL
100美金,MONEY
宋主席,PERSON
第四,ORDINAL
黃偉哲,PERSON
中國大陸,GPE
嘉義,GPE
一千億,CARDINAL
台中,GPE
2300萬,CARDINAL
蔡英文,PERSON
今年,DATE
高雄,GPE
陳菊,PERSON
北京,GPE
陳水扁,PERSON
韓國瑜,PERSON
台灣電視公司,ORG
2013年,DATE
非洲法院,ORG
新竹市,GPE
第三,CARDINAL
四年,DATE
中華民國,GPE
幾千億,CARDINAL
三年半,DATE
國民黨,ORG
上個星期,DATE
謝長廷,ORG
宋,PERSON
台灣,NORP
第三,ORDINAL
李佳芬,PERSON
25日,DATE
10800塊,MONEY
史艷文,PERSON
印尼人,NORP
二十年,DATE
一年,DATE
賴清德,PERSON
邱義仁,PERSON
三立電視,ORG
50%,PERCENT
立法院,ORG
三十年,DATE
一噸,QUANTITY
第五,ORDINAL
蔡其昌,PERSON
苗栗,GPE
高雄市政府,ORG
彰化,GPE
30000元,MONEY
二十多年前,DATE
1/7,CARDINAL
去年,DATE
這三年半,DATE
第一,ORDINAL
台電,ORG
2019年,DATE
兩岸,GPE
冬天,DATE
楊麗花,PERSON
四,CARDINAL
泰國,GPE
六,CARDINAL
夏天,DATE
范巽綠,PERSON
少棒隊,ORG
新北,GPE
印尼,GPE
二,DATE
蘆洲,GPE
七萬多,CARDINAL
王國材,PERSON
何庭歡,PERSON
兩兆,CARDINAL
快四年,DATE
阿里山,LOC
兩岸,LOC
馬來西亞,GPE
兩塊多,MONEY
17歲那年,DATE
歐洲,LOC
三年八個月,DATE
大陸,GPE
五十多年,DATE
英文,LANGUAGE
150萬,CARDINAL
新潮流,ORG
台灣人,NORP
1450,CARDINAL
威廉波特,GPE
陳美伶,PERSON
兩,CARDINAL
百分百,PERCENT
孫中山,PERSON
晚上,TIME
許,PERSON
40,CARDINAL
台澎金馬,GPE
馬來西亞籍,NORP
六千萬,CARDINAL
2015年12月25日,DATE
二十一世紀,DATE
1000元美金,MONEY
閩南,LOC
新竹,GPE
宋楚瑜,PERSON
3%,PERCENT
豬八戒,PERSON
2004年,DATE
128,CARDINAL
60%,PERCENT
越南,GPE
一,CARDINAL
越南籍,NORP
聖誕夜,TIME
三,CARDINAL
9100億,CARDINAL
1,CARDINAL
7%,PERCENT
非洲,LOC
林崑海,PERSON
四萬,CARDINAL
38,CARDINAL
第二,ORDINAL
盧修一,PERSON
南投,GPE
百年,DATE
