三年半,DATE
湖北,GPE
一毛錢,MONEY
陳其邁,PERSON
何志偉,PERSON
台北農產公司,ORG
蔡,PERSON
共產黨,ORG
台南,GPE
薛凌,PERSON
雲林,GPE
高雄,NORP
25天,DATE
香港,GPE
解放軍,ORG
幾十萬,CARDINAL
2013年,DATE
中南海,FAC
北京,GPE
謝長廷,PERSON
宋,PERSON
高雄林園,GPE
台灣賣台集團,ORG
張,PERSON
嘉義,GPE
新竹市民進黨,ORG
將近三年前,DATE
中華民國,GPE
屏東,GPE
蔡英文,PERSON
台灣,NORP
大陸,GPE
香港大學學生會,ORG
陽信銀行,ORG
南臺灣,GPE
280萬,CARDINAL
一個星期三天,DATE
台灣,GPE
新竹市,GPE
兩,CARDINAL
中國,GPE
高雄市,GPE
第三,ORDINAL
上海,GPE
六百,CARDINAL
幾十年,DATE
第二,CARDINAL
中國台灣,GPE
60億新台幣,MONEY
香港,NORP
韓國瑜,PERSON
20個月,DATE
武漢註冊公司,ORG
中國大陸,GPE
2300萬,CARDINAL
台灣人,NORP
第二,ORDINAL
三,CARDINAL
二十多天,DATE
香港人,NORP
第一,ORDINAL
中聯辦,ORG
童安格,PERSON
四,CARDINAL
日本,GPE
一,CARDINAL
民進黨,ORG
台獨,GPE
台北,GPE
一年,DATE
第四,ORDINAL
高雄,GPE
