謝謝



,1
蔡英文,2
總統,4
講,1
從,1
中國,1
網軍,13
獲得,1
巨大,1
政治,1
利益,1
讓,3
在,4
選舉,1
得到,1
幫助,1
此時,1
此刻,1
心情,1
感覺,1
善良,1
小,1
白兔,1
遇到,1
大,3
野狼,2
培養,1
現場,1
有賴清德,1
被,7
打,1
趴,1
地,1
上,2
時候,2
字,3
說,6
楊蕙如,2
養,2
扮演,1
上帝,1
角色,1
好人,1
壞人,1
由,1
鍵盤,1
打來,1
決定,1
逼死,1
外交官,1
為了,1
台灣,3
人民,2
相信,1
境,1
外,2
扣,1
曾永權,2
來,2
借給,3
蔡,2
英文,1
～,1
襪子,1
衣服,1
過,1
玩笑,1
開大,1
用,1
納稅人,1
錢,1
抓出來,1
裝,1
知道,3
駐,1
日本,1
大使,1
謝長廷,1
緊急,1
趕回,1
幹什麼,1
事情,1
爆發,1
廣大,1
網路,1
年輕人,1
洗腦帶,1
風向,1
小編,1
跟,4
幕僚,1
幫,2
寫,1
那些,1
稿子,1
這裡,2
讀,1
稿,1
內心,1
踏實,2
完全,1
狀況,1
最,1
受惠,1
者,1
沒有,1
民進黨,1
黨,1
內,1
初選,1
今天,1
辯論,1
賴清德,2
他民調,1
贏,1
20%,1
打垮,1
渴望,1
君子,1
爭,2
希望,1
口水,1
抹黑,1
扭曲,1
謝謝,1
